YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201705,114653,698456,1,2.98,"SSW","CASSVILLE",36.64,-93.89,3638400,9353400
201705,114653,698457,1,0,"N","REEDS SPG",36.75,-93.38,3645000,9322800
201705,114653,698458,1,0,"N","DICKENS",36.73,-93.05,3643800,933000
201705,114653,698459,1,1.1,"E","CHADWICK",36.93,-93.05,3655800,933000
201705,114653,698460,1,.89,"NE","HALLEY",36.73,-93.67,3643800,9340200
201703,112669,678954,1,.57,"E","FLORENCE",34.8,-87.66,3448000,8739600
201703,112669,678955,1,.89,"SE","PETERSVILLE",34.84,-87.67,3450400,8740200
201703,112669,678956,1,.69,"S","KILLEN",34.86,-87.53,3451600,8731800
201703,112669,678957,1,1.7,"E","THORTONTOWN",34.83,-87.32,3449800,8719200
201703,112669,678958,1,.57,"E","HOLBERT SPGS",34.87,-87.16,3452200,879600
201703,112669,678959,1,.89,"SW","WHITEHOUSE SPGS",34.64,-87.69,3438400,8741400
201703,112669,678960,1,2.68,"SW","EMCO LISTERHILL JCT",34.69,-87.6,3441400,8736000
201703,112669,678961,1,.57,"W","LEIGHTON",34.7,-87.53,3442000,8731800
201703,112669,678962,1,.69,"S","TONEY",34.89,-86.75,3453400,8645000
201703,112669,678963,1,.57,"W","TOWN CREEK",34.68,-87.41,3440800,8724600
201703,112669,678964,1,.89,"SE","ARDMORE",34.99,-86.84,3459400,8650400
201703,112669,678965,1,.57,"E","HAZEL GREEN",34.93,-86.57,3455800,8634200
201703,112669,678966,1,1.49,"NNE","LAWNGATE",34.74,-87.07,3444400,874200
201703,112669,678967,1,2.19,"NE","MADISON",34.72,-86.74,3443200,8644400
201703,112669,678968,1,1.14,"E","FLETCHER CHAPEL",34.73,-86.65,3443800,8639000
201703,112669,678969,1,2.88,"E","HUNTSVILLE PARK",34.7052,-86.5698,3442312,8634188
201703,112669,678970,1,2.15,"SSE","MONROVIA",34.74,-86.71,3444400,8642600
201703,112669,678971,1,1.38,"N","LILY FLAG",34.67,-86.57,3440200,8634200
201703,112669,678972,1,.9,"NW","RYAN XRDS",34.34,-86.61,3420400,8636600
201703,112669,678973,1,.37,"N","HEBRON",34.4854,-86.3803,3429124,8622818
201703,112669,678974,1,.31,"NW","GUNTERSVILLE MUNI AR",34.4036,-86.2732,3424216,8616392
201703,112765,673548,3,1.96,"SW","MILAN",39.1021,-85.1585,396126,859510
201703,112765,673548,4,.75,"SSW","DELAWARE",39.1195,-85.2237,397170,8513422
201703,112765,673549,1,1.38,"N","HOMESTEAD",39.15,-84.83,399000,8449800
201703,112765,673549,2,2.01,"SE","BRIGHT",39.1964,-84.8282,3911784,8449692
201703,112765,673549,3,1.89,"WSW","BRIGHT",39.2052,-84.8797,3912312,8452782
201703,112765,673549,4,2.02,"N","UPLAND",39.1589,-84.8735,399534,8452410
201703,112765,673550,1,.56,"WNW","UPLAND",39.1322,-84.89,397932,8453400
201703,112765,673550,2,.1,"NE","HOMESTEAD",39.1312,-84.8289,397872,8449734
201703,112765,673550,3,.75,"NW","DEARBORN",39.1088,-84.8282,396528,8449692
201703,112765,673550,4,1.72,"NNE","AURORA",39.0912,-84.8831,395472,8452986
201703,112765,673555,1,1.27,"WSW","LOOKOUT",39.17,-85.24,3910200,8514400
201703,112765,673562,1,.87,"SW","OLD MILAN",39.14,-85.14,398400,858400
201703,112765,673563,1,.54,"W","BRIGHT",39.22,-84.86,3913200,8451600
201703,112765,673564,1,3.81,"NNW","HOLTON",39.12,-85.41,397200,8524600
201703,112765,673570,1,.88,"SW","CROSS PLAINS",38.94,-85.21,3856400,8512600
201703,112765,673572,1,.54,"E","COFIELD CORNER",38.95,-84.94,3857000,8456400
201703,112765,673574,1,2.05,"NW","FLORENCE",38.8033,-84.9436,3848198,8456616
201703,112765,673577,1,1.72,"SE","COFIELD CORNER",38.9303,-84.9303,3855818,8455818
201703,112765,673665,1,1.19,"ENE","MILTON",38.9885,-85.0008,3859310,8548
201703,112765,673665,2,1.33,"S","FRENCH",39.0011,-84.8843,3966,8453058
201703,112765,673666,1,1.75,"NW","WILMINGTON",39.09,-84.97,395400,8458200
201703,112765,673668,1,1.36,"NE","FARMERS RETREAT",38.9852,-85.0841,3859112,855046
201703,112765,673668,2,3.01,"SSE","DILLSBORO STATION",38.9927,-85.001,3859562,8560
201703,112765,676339,1,0,"N","DELAWARE",39.13,-85.22,397800,8513200
201703,112765,676339,2,1.56,"S","DELAWARE",39.1074,-85.2201,396444,8513206
201703,112765,676339,3,2.23,"SE","VERSAILLES",39.0492,-85.2182,392952,8513092
201703,112765,676339,4,.68,"W","ELROD",39.0518,-85.1825,393108,8510950
201703,112765,676339,5,.88,"NW","PIERCEVILLE",39.1397,-85.1907,398382,8511442
201703,112765,676364,1,.54,"E","NEW MARION",39,-85.36,3900,8521600
201703,112765,676364,2,2.41,"W","REXVILLE",38.9503,-85.3748,3857018,8522488
201703,112765,676364,3,.6,"NNE","REXVILLE",38.9573,-85.3239,3857438,8519434
201703,112765,676364,4,2.12,"SW","CORRECT",39.0016,-85.3116,3996,8518696
201703,112765,676365,1,.87,"SE","VERSAILLES",39.06,-85.24,393600,8514400
201703,112765,676365,2,.99,"NNW","VERSAILLES",39.0827,-85.2587,394962,8515522
201703,112765,676365,3,1.78,"ENE","VERSAILLES",39.0765,-85.2179,394590,8513074
201703,112765,676365,4,2.08,"W","ELROD",39.0531,-85.2086,393186,8512516
201703,112765,676366,1,.54,"E","GUILFORD",39.17,-84.91,3910200,8454600
201703,112765,676366,2,.92,"SW","LOGAN",39.2424,-84.8941,3914544,8453646
201703,112765,676366,3,1.74,"NE","BRIGHT",39.2366,-84.8254,3914196,8449524
201703,112765,676366,4,2.63,"SSE","BRIGHT",39.185,-84.8309,3911100,8449854
201703,112765,678809,1,0,"N","OSGOOD",39.13,-85.3,397800,8518000
201703,112765,678809,2,.53,"S","OSGOOD",39.1224,-85.3006,397344,8518036
201703,112765,678809,3,1.05,"ESE","OSGOOD",39.1246,-85.2816,397476,8516896
201703,112765,678809,4,.93,"E","OSGOOD",39.1314,-85.2828,397884,8516968
201703,112766,673706,1,.32,"NE","WILLOW GROVE",38.7838,-84.1667,3847028,8410002
201703,112766,673716,1,.88,"SW","BURTONVILLE",38.49,-83.58,3829400,8334800
201703,112766,673716,2,2.34,"SSE","NASHTOWN",38.49,-83.51,3829400,8330600
201703,112766,673735,1,1.75,"NW","SUGAR BAY",38.82,-84.79,3849200,8447400
201703,112766,673886,1,1.75,"NW","HUEYS CORNER",38.97,-84.72,3858200,8443200
201703,112766,673886,2,.54,"W","DEVON",38.97,-84.61,3858200,8436600
201703,112766,673887,1,3.2,"NNW","RICEDALE",38.97,-84.6,3858200,8436000
201703,112766,673887,2,2.33,"NNW","INDEPENDENCE",38.96,-84.55,3857600,8433000
201703,112766,675135,1,1.76,"ESE","LEWISBURG",38.54,-83.74,3832400,8344400
201703,112766,675158,1,0,"N","BURTONVILLE",38.5,-83.57,3830000,8334200
201703,112766,675160,1,7,"SE","VANCEBURG",38.5284,-83.1584,3831704,839504
201703,112766,675161,1,2.13,"NE","CARROLLTON",38.69,-85.14,3841400,858400
201703,112766,675162,1,.88,"NE","CARROLLTON",38.68,-85.16,3840800,859600
201703,112766,675176,1,1,"SSE","OWENTON",38.5166,-84.8229,3830996,8449374
201703,112766,675178,1,.8,"NNE","HAMILTON",38.8901,-84.7626,3853406,8445756
201703,112766,675179,1,.54,"E","(CVG)GTR CIN ARPT",39.05,-84.66,393000,8439600
201703,112766,675880,1,.88,"NW","INDEPENDENCE",38.94,-84.54,3856400,8432400
201703,112766,675881,1,1.75,"NW","HUEYS CORNER",38.97,-84.72,3858200,8443200
201703,112766,675882,1,.69,"S","CRITTENDEN",38.77,-84.6,3846200,8436000
201703,112766,675885,1,1.38,"S","ALEXANDRIA",38.95,-84.38,3857000,8422800
201703,112766,675896,1,.69,"N","WILLOW GROVE",38.79,-84.17,3847400,8410200
201703,112766,675897,1,1.76,"ESE","LEWISBURG",38.54,-83.74,3832400,8344400
201703,112766,675898,1,2.56,"ESE","MURPHYSVILLE",38.557,-83.8257,3833420,8349542
201703,112766,675899,1,.69,"N","BOSTON",38.76,-84.35,3845600,8421000
201703,112766,676055,1,1.54,"NNE","LENOXBURG",38.7516,-84.213,3845096,8412780
201703,112766,676058,1,0,"N","FOSTER",38.8,-84.22,3848000,8413200
201703,112766,676073,1,1.89,"NE","MT OLIVET",38.548,-84.0038,3832880,84228
201703,112766,676079,1,0,"N","LEWISBURG",38.55,-83.77,3833000,8346200
201703,112766,676107,1,.34,"WNW","BELLEVIEW",38.9823,-84.8255,3858938,8449530
201703,112766,676345,1,1.22,"NNW","CLARKSBURG",38.5957,-83.3802,3835742,8322812
201703,112766,676345,2,.67,"NW","CLARKSBURG",38.5878,-83.3772,3835268,8322632
201703,112766,676345,3,.46,"N","CLARKSBURG",38.5866,-83.3714,3835196,8322284
201703,112766,676345,4,1.18,"NNW","CLARKSBURG",38.5967,-83.3749,3835802,8322494
201703,112766,676346,1,0,"N","CHARTERS",38.57,-83.43,3834200,8325800
201703,112766,676346,2,.77,"W","CHARTERS",38.5697,-83.4443,3834182,8326658
201703,112766,676346,3,1.18,"SW","CHARTERS",38.5571,-83.4443,3833426,8326658
201703,112766,676346,4,.83,"S","CHARTERS",38.5581,-83.4328,3833486,8325968
201703,112766,676349,1,.92,"N","EPWORTH",38.5332,-83.5826,3831992,8334956
201703,112766,676349,2,1.24,"NE","FEARISVILLE",38.6417,-83.5826,3838502,8334956
201703,112766,676349,3,2.13,"NE","QUEENS",38.6502,-83.3701,3839012,8322206
201703,112766,676349,4,1.91,"SSE","FERRY VANCEBURG",38.574,-83.308,3834440,8318480
201703,112766,676367,1,2.55,"ESE","PETERSBURG",39.05,-84.81,393000,8448600
201703,112766,676367,2,2.38,"SE","PETERSBURG",39.0481,-84.8158,392886,8448948
201703,112766,676367,3,2.13,"ESE","PETERSBURG",39.0577,-84.8135,393462,8448810
201703,112766,676367,4,2.23,"SW","IDLEWILD",39.0579,-84.8103,393474,8448618
201703,112766,677144,1,1.64,"NW","SHERMAN",38.7466,-84.6016,3844796,8436096
201703,112766,678818,1,.56,"NNW","CLARKSBURG",38.587,-83.3751,3835220,8322506
201703,112766,678818,2,.47,"NNW","CLARKSBURG",38.5866,-83.3722,3835196,8322332
201703,112766,678818,3,.98,"NNW","CLARKSBURG",38.5939,-83.374,3835634,8322440
201703,112766,678818,4,.98,"NNW","CLARKSBURG",38.5934,-83.3762,3835604,8322572
201703,112766,678820,1,1.13,"WSW","PIQUA",38.4645,-84.0697,3827870,844182
201703,112766,678820,2,1.15,"WSW","PIQUA",38.4636,-84.0696,3827816,844176
201703,112766,678820,3,.86,"WSW","PIQUA",38.4668,-84.0654,3828008,843924
201703,112766,678820,4,.9,"WSW","PIQUA",38.4672,-84.0662,3828032,843972
201703,112767,673722,1,.54,"W","HAMERSVILLE",38.92,-83.99,3855200,8359400
201703,112767,673722,2,2.12,"SW","MACON",38.95,-83.75,3857000,8345000
201703,112767,673723,1,1.32,"NNW","CHILO",38.7984,-84.1364,3847904,848184
201703,112767,673888,1,1.37,"SE","WEST UNION SALAMON A",38.8358,-83.5523,3850148,8333138
201703,112767,674021,1,.98,"WNW","NEW PETERSBURG",39.2754,-83.4669,3916524,8328014
201703,112767,674021,2,3.8,"ENE","NEW PETERSBURG",39.2926,-83.3852,3917556,8323112
201703,112767,674104,1,1.33,"N","SAMANTHA",39.2991,-83.5968,3917946,8335808
201703,112767,674104,2,.78,"SE","CENTERFIELD",39.3209,-83.4714,3919254,8328284
201703,112767,674105,1,1.97,"NNW","BLAIRSVILLE",39.0258,-84.2955,391548,8417730
201703,112767,674105,2,.21,"ESE","AMELIA SKY HILLS ARP",39.0288,-84.1765,391728,8410590
201703,112767,674106,1,1.65,"SSW","NEW MARKET",39.1078,-83.6814,396468,8340884
201703,112767,674106,2,2.35,"NE","SUGAR TREE RIDGE",39.0969,-83.6431,395814,8338586
201703,112767,674107,1,.97,"SW","MT WASHINGTON",39.0699,-84.3925,394194,8423550
201703,112767,674107,2,.95,"SSE","MT WASHINGTON",39.0672,-84.3733,394032,8422398
201703,112767,675152,1,.69,"N","CHLLCTH ROSS CO ARPT",39.44,-83.02,3926400,831200
201703,112767,675156,1,2.11,"NE","LAURELVILLE",39.47,-82.74,3928200,8244400
201703,112767,675157,1,2.14,"SSE","RUSHVILLE",39.74,-82.42,3944400,8225200
201703,112767,675159,1,0,"N","YELLOW SPGS",39.8,-83.88,3948000,8352800
201703,112767,675163,1,.53,"E","SHARONVILLE",39.27,-84.39,3916200,8423400
201703,112681,673882,3,.57,"SE","ZALESKI",39.2741,-82.3927,3916446,8223562
201703,112681,673882,4,1,"NW","PRATTSVILLE",39.2416,-82.391,3914496,8223460
201703,112681,673883,1,1.97,"NW","ATHENS OHIO UNIV ARP",39.2358,-82.2605,3914148,8215630
201703,112681,673883,2,1.86,"SSE","MINERAL",39.2955,-82.2555,3917730,8215330
201703,112681,673883,3,1.59,"SW","MINERAL",39.3019,-82.2885,3918114,8217310
201703,112681,673883,4,1.77,"S","CARBONDALE",39.3545,-82.2818,3921270,8216908
201703,112681,673883,5,2.53,"N","NEW MARSHFIELD",39.3566,-82.2169,3921396,8213014
201703,112681,673883,6,.84,"N","ALBANY",39.2421,-82.1987,3914526,8211922
201703,112681,673901,1,1.82,"S","CROSSENVILLE",39.6541,-82.3562,3939246,8221372
201703,112681,673901,2,1.13,"NNW","SANTOY",39.6454,-82.0568,3938724,823408
201703,112681,673901,3,2.95,"SSE","CORNING",39.561,-82.0573,3933660,823438
201703,112681,673901,4,1.46,"WSW","NEW STRAITSVILLE",39.5708,-82.2547,3934248,8215282
201703,112681,673901,5,2.03,"NW","NEW STRAITSVILLE",39.5994,-82.2585,3935964,8215510
201703,112681,673901,6,2.22,"WSW","MAXVILLE",39.6068,-82.368,3936408,8222080
201703,112681,673902,1,2.08,"SSE","MINERAL",39.2915,-82.2571,3917490,8215426
201703,112681,673902,2,1.84,"SE","SUGAR CREEK",39.3601,-82.0573,3921606,823438
201703,112681,673902,3,.87,"ESE","BURR OAK",39.5446,-82.0552,3932676,823312
201703,112681,673902,4,2.96,"NW","HUNTERDON",39.552,-82.1569,3933120,829414
201703,112681,673902,5,1.04,"SW","BEAUMONT",39.4587,-82.163,3927522,829780
201703,112681,673902,6,1.03,"WNW","EAST CLAYTON",39.4582,-82.266,3927492,8215960
201703,112681,673903,1,.5,"NNW","MACKSBURG",39.637,-81.4721,3938220,8128326
201703,112681,673903,2,1.09,"NE","LOWER SALEM",39.582,-81.3866,3934920,8123196
201703,112681,673903,3,2.03,"WSW","SALEM HALL",39.5555,-81.1531,3933330,819186
201703,112681,673903,4,.39,"NW","SCHLEY",39.4538,-81.2554,3927228,8115324
201703,112681,673903,5,.61,"NW","UNIONVILLE",39.4559,-81.4786,3927354,8128716
201703,112681,673906,1,1.5,"NNE","BOLINS MILLS",39.2509,-82.272,3915054,8216320
201703,112681,673906,2,1.41,"S","BOLINS MILLS",39.2099,-82.2751,3912594,8216506
201703,112681,673906,3,2.17,"SE","PRATTSVILLE",39.2081,-82.3509,3912486,8221054
201703,112681,673906,4,2.58,"E","ZALESKI",39.2836,-82.352,3917016,8221120
201703,112681,673906,5,4.2,"N","BOLINS MILLS",39.2899,-82.2675,3917394,8216050
201703,112681,673908,1,1.35,"S","DYESVILLE",39.1008,-82.2254,396048,8213524
201703,112681,673908,2,.7,"NE","KENO",39.1058,-81.8594,396348,8151564
201703,112681,673908,3,2.78,"N","ROLANDUS",39.0099,-81.8223,39594,8149338
201703,112681,673908,4,.76,"NE","SYRACUSE",39.0061,-81.9582,39366,8157492
201703,112681,673908,5,1.27,"ENE","POMEROY",39.036,-82.0077,392160,82462
201703,112681,673908,6,.36,"E","BRADBURY",39.0205,-82.0633,391230,823798
201703,112681,673908,7,2.21,"E","DANVILLE",39.02,-82.2089,391200,8212534
201703,112681,673910,1,5.24,"WSW","SAND FORK",38.6861,-82.4668,3841166,8228008
201703,112681,673910,2,1.55,"SSE","MC DANIEL XROADS",38.7482,-82.4634,3844892,8227804
201703,112681,673910,3,.57,"NW","MC DANIEL XROADS",38.7761,-82.4771,3846566,8228626
201703,112681,673910,4,1.28,"WSW","PENIEL",38.7943,-82.5525,3847658,8233150
201703,112681,673910,5,1.93,"WNW","GALLIA",38.8435,-82.5514,3850610,8233084
201703,112681,673910,6,1.66,"WNW","CORA",38.8328,-82.3962,3849968,8223772
201703,112681,673910,7,2.88,"SW","SAND FORK",38.6866,-82.412,3841196,8224720
201703,112681,673911,1,2.13,"WSW","ROCK CAMP",38.5169,-82.5856,3831014,8235136
201703,112681,673911,2,1.34,"NW","CHSPK LAWRENCE CO AR",38.4335,-82.5176,3826010,8231056
201703,112681,673911,3,1.17,"NW","BARRAMVILLE",38.49,-82.3974,3829400,8223844
201703,112681,673911,4,1.96,"WSW","RAPPSBURG",38.6055,-82.4311,3836330,8225866
201703,112681,673911,5,1.42,"ENE","SHERRITTS",38.6845,-82.4943,3841070,8229658
201703,112681,673911,6,1.1,"W","SHERRITTS",38.6813,-82.5403,3840878,8232418
201703,112682,673127,1,1.07,"E","RUNKLE",39.05,-81.73,393000,8143800
201703,112682,673129,1,1.38,"S","NEW ERA",38.88,-81.67,3852800,8140200
201703,112682,673134,1,.54,"E","GRANTSVILLE",38.92,-81.09,3855200,815400
201703,112682,673137,1,1.38,"S","COXS MILLS",39.03,-80.83,391800,8049800
201703,112682,673156,1,1.38,"N","COX LNDG",38.49,-82.3,3829400,8218000
201703,112682,673163,1,1.62,"E","FIVEMILE",38.75,-82.05,3845000,823000
201703,112682,673165,1,0,"N","FLATROCK",38.85,-82.02,3851000,821200
201703,112682,673167,1,0,"N","EAST LYNN",38.17,-82.38,3810200,8222800
201703,112682,673169,1,0,"N","DUNLOW",38.02,-82.43,381200,8225800
201703,112682,673171,1,3.45,"S","HURRICANE",38.38,-82.03,3822800,821800
201703,112682,673172,1,1.38,"N","HURRICANE",38.45,-82.03,3827000,821800
201703,112682,673175,1,1.28,"ESE","COTTAGEVILLE",38.86,-81.8,3851600,8148000
201703,112682,673178,1,.46,"NW","CROW SUMMIT",38.9041,-81.6866,3854246,8141196
201703,112682,673181,1,.69,"N","FAIRVIEW",38.44,-81.77,3826400,8146200
201703,112682,673182,1,1.22,"ENE","SCARY",38.4397,-81.8312,3826382,8149872
201703,112682,673184,1,1.41,"E","LIBERTY",38.5989,-81.7039,3835934,8142234
201703,112682,673185,1,.79,"NE","ELEANOR",38.5364,-81.9178,3832184,8155068
201703,112682,673186,1,1.63,"NW","SOD",38.2444,-81.8739,3814664,8152434
201703,112682,673188,1,.57,"NE","MORRISVALE",38.1358,-81.9125,388148,8154750
201703,112682,673189,1,0,"N","DANVILLE",38.08,-81.83,384800,8149800
201703,112682,673191,1,0,"N","EAST WILLIAMSON",37.67,-82.27,3740200,8216200
201703,112682,673194,1,.34,"ENE","SPRING HILL",38.3519,-81.7242,3821114,8143452
201703,112682,673195,1,0,"N","(CRW) YEAGER ARPT",38.37,-81.6,3822200,8136000
201703,112682,673197,1,0,"N","MARMET",38.25,-81.57,3815000,8134200
201703,112682,673199,1,.78,"SE","MADISON",38.0624,-81.8195,383744,8149170
201703,112682,673200,1,.02,"NNE","GORDON",37.9802,-81.6998,3758812,8141988
201703,112682,673201,1,.51,"NW","GOODMAN",37.7048,-82.1372,3742288,828232
201703,112682,673202,1,3.05,"WNW","RAMAGE",38,-81.88,3800,8152800
201703,112682,673204,1,.85,"NNE","RED JACKET",37.6607,-82.1223,3739642,827338
201703,112682,673206,1,2.14,"SSE","SMITHVILLE",39.07,-81.09,394200,815400
201703,112682,673214,1,.58,"WNW","STANDARD",38.1337,-81.4096,388022,8124576
201703,112682,673218,1,0,"N","HINCH",37.62,-82.02,3737200,821200
201703,112682,673220,1,0,"N","GASSAWAY",38.67,-80.77,3840200,8046200
201703,112682,673221,1,.54,"W","SUTTON",38.67,-80.71,3840200,8042600
201703,112682,673225,1,.6,"NW","BRADSHAW",37.3566,-81.8072,3721396,8148432
201703,112682,673225,2,.33,"NNE","BRADSHAW",37.3546,-81.7985,3721276,8147910
201703,112682,673226,1,.69,"N","GREENSTOWN",37.98,-81.15,3758800,819000
201703,112682,673227,1,0,"N","GLEN JEAN",37.92,-81.15,3755200,819000
201703,112682,673228,1,.54,"W","DIANA",38.57,-80.46,3834200,8027600
201703,112682,673229,1,0,"N","MT NEBO",38.2,-80.85,3812000,8051000
201703,112682,673230,1,0,"N","CRAIGSVILLE",38.33,-80.65,3819800,8039000
201703,112682,673231,1,.54,"E","WEBSTER SPGS",38.48,-80.41,3828800,8024600
201703,112682,673232,1,0,"N","WELCH",37.43,-81.58,3725800,8134800
201703,112682,673233,1,.69,"N","ALPOCA",37.54,-81.38,3732400,8122800
201703,112682,673234,1,.69,"S","BUCKHANNON",38.99,-80.23,3859400,8013800
201703,112682,673235,1,0,"N","COOL RIDGE",37.65,-81.1,3739000,816000
201703,112682,673236,1,1.76,"WNW","HUTTONSVILLE",38.73,-80.01,3843800,80600
201703,112682,673237,1,.54,"E","BEVERLY",38.83,-79.87,3849800,7952200
201703,112682,673238,1,.69,"S","BELINGTON",39.02,-79.93,391200,7955800
201703,112682,673701,1,2,"W","HILLSBORO",38.13,-80.2568,387800,8015408
201703,112682,673702,1,0,"N","EDRAY",38.28,-80.1,3816800,806000
201703,112682,673703,1,1.31,"NNW","TORNADO",38.3464,-81.8621,3820784,8151726
201703,112682,673718,1,.44,"NNE","BENS RUN",39.476,-81.0973,3928560,815838
201703,112682,673718,2,.34,"W","LITTLE",39.4702,-81.0063,3928212,81378
201703,112682,673718,3,2.07,"N","JOSEPHS MILLS",39.4098,-80.8745,3924588,8052470
201703,112682,673718,4,1.48,"SSW","LIMA",39.4522,-80.7454,3927132,8044724
201703,112682,673718,5,1.75,"ENE","SANDUSKY",39.5561,-80.8182,3933366,8049092
201703,112682,673718,6,2.07,"ENE","SISTERSVILLE",39.5772,-80.9624,3934632,8057744
201703,112682,673884,1,.57,"E","REVERE",38.9712,-80.9895,3858272,8059370
201703,112682,673884,2,1.86,"E","TANNER",38.975,-80.916,3858500,8054960
201703,112682,673884,3,2.44,"SSW","NEWBERNE",39.0193,-80.9223,391158,8055338
